text,sentiment,video_id,target_neg,target_neu,target_pos,like_count,source_url
Disney - “Coming to a theatre near you” Me - Is that a threat?,negative,iV46TJKL8cU,0.8,0.15,0.05,97627,https://www.youtube.com/watch?v=iV46TJKL8cU
"This movie is magical. When I closed the tab, my life was magically made better.",negative,iV46TJKL8cU,0.8,0.15,0.05,12355,https://www.youtube.com/watch?v=iV46TJKL8cU
I'll give Disney some credit. They are brave enough to leave the comment section open,negative,iV46TJKL8cU,0.8,0.15,0.05,187153,https://www.youtube.com/watch?v=iV46TJKL8cU
I finally found it. The one video I will never skip the ads on.,negative,iV46TJKL8cU,0.8,0.15,0.05,577,https://www.youtube.com/watch?v=iV46TJKL8cU
If i saw this movie on a plane. I would still walk out.,negative,iV46TJKL8cU,0.8,0.15,0.05,161137,https://www.youtube.com/watch?v=iV46TJKL8cU
1. Stop the video at 0.00 2. Enjoy the comments section,negative,iV46TJKL8cU,0.8,0.15,0.05,52612,https://www.youtube.com/watch?v=iV46TJKL8cU
"Mirror, mirror on the wall, When did Lord Farquaad get so tall?",negative,iV46TJKL8cU,0.8,0.15,0.05,49587,https://www.youtube.com/watch?v=iV46TJKL8cU
I’m convinced the only reason Disney didn’t turn the comments off is because they had to admit they were funny,negative,iV46TJKL8cU,0.8,0.15,0.05,192,https://www.youtube.com/watch?v=iV46TJKL8cU
They finally did it. They made a movie nobody is going to pirate.,negative,iV46TJKL8cU,0.8,0.15,0.05,141899,https://www.youtube.com/watch?v=iV46TJKL8cU
"Evil Queen to Mirror: ""Describe Snow White to me."" Mirror: ""Weird, weird.""",negative,iV46TJKL8cU,0.8,0.15,0.05,71850,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Mirror mirror on the wall, who is the bravest of them all?"" ""Disney, for not locking the comment section""",negative,iV46TJKL8cU,0.8,0.15,0.05,41477,https://www.youtube.com/watch?v=iV46TJKL8cU
The same movie which started Disney's reputation ended it at the same time. Incredible,negative,iV46TJKL8cU,0.8,0.15,0.05,394,https://www.youtube.com/watch?v=iV46TJKL8cU
Nobody has ever rooted for a poison apple until this movie! GO APPLE GO!!!,negative,iV46TJKL8cU,0.8,0.15,0.05,20847,https://www.youtube.com/watch?v=iV46TJKL8cU
This trailer makes me want to sit on the TV and look at my couch,negative,iV46TJKL8cU,0.8,0.15,0.05,32428,https://www.youtube.com/watch?v=iV46TJKL8cU
"Mirror mirror on my screen, can this trailer be un-seen?",negative,iV46TJKL8cU,0.8,0.15,0.05,18782,https://www.youtube.com/watch?v=iV46TJKL8cU
Love how the most replayed part is at 0:00 because everybody just pauses there and goes to the comment section.🤣🤣,negative,iV46TJKL8cU,0.8,0.15,0.05,175,https://www.youtube.com/watch?v=iV46TJKL8cU
They should create an award for best comment section. That’s the only award this movies winning.,negative,iV46TJKL8cU,0.8,0.15,0.05,5098,https://www.youtube.com/watch?v=iV46TJKL8cU
this cured my procrastination. i actually closed the tab five seconds in and wrote three college papers.,negative,iV46TJKL8cU,0.8,0.15,0.05,2403,https://www.youtube.com/watch?v=iV46TJKL8cU
"""Coming to a theater near you"" For the first time in my life I'm glad there are no theaters near me.",negative,iV46TJKL8cU,0.8,0.15,0.05,49232,https://www.youtube.com/watch?v=iV46TJKL8cU
This is why aliens haven’t invaded Earth yet,negative,iV46TJKL8cU,0.8,0.15,0.05,108,https://www.youtube.com/watch?v=iV46TJKL8cU
Came here just to read the comments. Was not disappointed.,negative,iV46TJKL8cU,0.8,0.15,0.05,11720,https://www.youtube.com/watch?v=iV46TJKL8cU
